Accuracy: 0.3433333333333333
Accuracy: 0.37373737373737376

Starting epoch 0
tensor(1.1102, grad_fn=<NllLossBackward>)
tensor(0.8486, grad_fn=<NllLossBackward>)
tensor(1.0833, grad_fn=<NllLossBackward>)
tensor(1.0970, grad_fn=<NllLossBackward>)
tensor(1.0637, grad_fn=<NllLossBackward>)
tensor(0.7861, grad_fn=<NllLossBackward>)
tensor(0.7850, grad_fn=<NllLossBackward>)
tensor(1.0074, grad_fn=<NllLossBackward>)
tensor(1.0203, grad_fn=<NllLossBackward>)
tensor(0.7461, grad_fn=<NllLossBackward>)
tensor(0.6719, grad_fn=<NllLossBackward>)
tensor(0.4636, grad_fn=<NllLossBackward>)
tensor(0.3216, grad_fn=<NllLossBackward>)
tensor(5.2574, grad_fn=<NllLossBackward>)
tensor(4.9873, grad_fn=<NllLossBackward>)
tensor(1.5102, grad_fn=<NllLossBackward>)
tensor(0.3198, grad_fn=<NllLossBackward>)
tensor(3.1345, grad_fn=<NllLossBackward>)
tensor(1.1686, grad_fn=<NllLossBackward>)
tensor(2.4533, grad_fn=<NllLossBackward>)
tensor(2.1819, grad_fn=<NllLossBackward>)
tensor(2.0254, grad_fn=<NllLossBackward>)
tensor(0.8032, grad_fn=<NllLossBackward>)
tensor(0.8415, grad_fn=<NllLossBackward>)
tensor(0.8946, grad_fn=<NllLossBackward>)
tensor(0.8956, grad_fn=<NllLossBackward>)
tensor(1.0294, grad_fn=<NllLossBackward>)
tensor(0.9742, grad_fn=<NllLossBackward>)
tensor(1.0337, grad_fn=<NllLossBackward>)
tensor(1.3763, grad_fn=<NllLossBackward>)
tensor(1.0153, grad_fn=<NllLossBackward>)
tensor(0.9923, grad_fn=<NllLossBackward>)
tensor(1.2756, grad_fn=<NllLossBackward>)
tensor(0.9755, grad_fn=<NllLossBackward>)
tensor(1.0496, grad_fn=<NllLossBackward>)
tensor(1.0167, grad_fn=<NllLossBackward>)
tensor(1.0624, grad_fn=<NllLossBackward>)
tensor(1.0422, grad_fn=<NllLossBackward>)
tensor(1.2263, grad_fn=<NllLossBackward>)
tensor(1.0450, grad_fn=<NllLossBackward>)
tensor(1.0133, grad_fn=<NllLossBackward>)
tensor(1.0143, grad_fn=<NllLossBackward>)
tensor(1.0354, grad_fn=<NllLossBackward>)
tensor(1.2323, grad_fn=<NllLossBackward>)
tensor(1.2087, grad_fn=<NllLossBackward>)
tensor(1.2428, grad_fn=<NllLossBackward>)
tensor(1.0897, grad_fn=<NllLossBackward>)
tensor(1.2580, grad_fn=<NllLossBackward>)
tensor(1.2081, grad_fn=<NllLossBackward>)
tensor(1.1096, grad_fn=<NllLossBackward>)
tensor(1.1868, grad_fn=<NllLossBackward>)
tensor(1.1584, grad_fn=<NllLossBackward>)
tensor(1.1373, grad_fn=<NllLossBackward>)
tensor(1.0453, grad_fn=<NllLossBackward>)
tensor(1.1142, grad_fn=<NllLossBackward>)
tensor(1.0831, grad_fn=<NllLossBackward>)
tensor(1.1079, grad_fn=<NllLossBackward>)
tensor(1.0729, grad_fn=<NllLossBackward>)
tensor(1.1172, grad_fn=<NllLossBackward>)
tensor(1.1415, grad_fn=<NllLossBackward>)
tensor(1.0334, grad_fn=<NllLossBackward>)
tensor(1.1587, grad_fn=<NllLossBackward>)
tensor(1.1019, grad_fn=<NllLossBackward>)
tensor(0.9959, grad_fn=<NllLossBackward>)
tensor(1.0865, grad_fn=<NllLossBackward>)
tensor(1.1377, grad_fn=<NllLossBackward>)
tensor(1.1270, grad_fn=<NllLossBackward>)
tensor(1.0721, grad_fn=<NllLossBackward>)
tensor(1.0386, grad_fn=<NllLossBackward>)
tensor(1.0117, grad_fn=<NllLossBackward>)
tensor(1.2623, grad_fn=<NllLossBackward>)
tensor(1.0223, grad_fn=<NllLossBackward>)
tensor(1.0259, grad_fn=<NllLossBackward>)
tensor(1.2326, grad_fn=<NllLossBackward>)
tensor(1.1920, grad_fn=<NllLossBackward>)
tensor(1.0322, grad_fn=<NllLossBackward>)
tensor(1.0753, grad_fn=<NllLossBackward>)
tensor(1.0770, grad_fn=<NllLossBackward>)
tensor(0.9979, grad_fn=<NllLossBackward>)
tensor(1.1580, grad_fn=<NllLossBackward>)
tensor(1.0303, grad_fn=<NllLossBackward>)
tensor(1.1756, grad_fn=<NllLossBackward>)
tensor(1.0982, grad_fn=<NllLossBackward>)
tensor(1.0262, grad_fn=<NllLossBackward>)
tensor(1.0115, grad_fn=<NllLossBackward>)
